Case_ID,Case_Text,Case_Type,Favor_Result
87,Title deed forgery over private property between two private parties filed in district court.,Survey Error,Government
88,Illegal possession over commercial land involving the state government filed in district court.,Land Dispute,Petitioner
89,Title deed forgery over government land between two private parties filed in district court.,Ownership Conflict,Petitioner
90,Ownership conflict over commercial land against a private company filed in district court.,Ownership Conflict,Respondent
91,Boundary dispute over residential land between petitioner and respondent filed in district court.,Land Dispute,Petitioner
92,Survey number mismatch over government land against local municipality filed in district court.,Ownership Conflict,Petitioner
93,Survey number mismatch over private property against local municipality filed in district court.,Survey Error,Petitioner
94,Survey number mismatch over private property against local municipality filed in district court.,Survey Error,Government
95,Boundary dispute over government land involving the state government filed in district court.,Ownership Conflict,Respondent
96,Boundary dispute over commercial land between petitioner and respondent filed in district court.,Land Dispute,Respondent
97,Boundary dispute over agricultural land between petitioner and respondent filed in district court.,Survey Error,Petitioner
98,Survey number mismatch over agricultural land involving the state government filed in district court.,Survey Error,Government
99,Survey number mismatch over residential land against local municipality filed in district court.,Ownership Conflict,Government
100,Survey number mismatch over private property between two private parties filed in district court.,Survey Error,Respondent
101,Ownership conflict over private property against a private company filed in district court.,Survey Error,Respondent
102,Survey number mismatch over agricultural land between petitioner and respondent filed in district court.,Land Dispute,Petitioner
103,Boundary dispute over residential land involving the state government filed in district court.,Ownership Conflict,Respondent
104,Boundary dispute over agricultural land involving the state government filed in district court.,Ownership Conflict,Government
105,Illegal possession over residential land against local municipality filed in district court.,Survey Error,Petitioner
106,Boundary dispute over private property between petitioner and respondent filed in district court.,Ownership Conflict,Petitioner
107,Ownership conflict over private property between petitioner and respondent filed in district court.,Survey Error,Petitioner
108,Ownership conflict over commercial land between petitioner and respondent filed in district court.,Land Dispute,Petitioner
109,Boundary dispute over commercial land against a private company filed in district court.,Ownership Conflict,Government
110,Title deed forgery over residential land against a private company filed in district court.,Survey Error,Respondent
111,Title deed forgery over commercial land involving the state government filed in district court.,Survey Error,Respondent
112,Survey number mismatch over residential land between petitioner and respondent filed in district court.,Ownership Conflict,Government
113,Boundary dispute over agricultural land between petitioner and respondent filed in district court.,Survey Error,Respondent
114,Title deed forgery over agricultural land between two private parties filed in district court.,Survey Error,Government
115,Boundary dispute over government land against local municipality filed in district court.,Land Dispute,Respondent
116,Illegal possession over agricultural land against a private company filed in district court.,Survey Error,Government
117,Boundary dispute over agricultural land against a private company filed in district court.,Land Dispute,Respondent
118,Survey number mismatch over commercial land against local municipality filed in district court.,Survey Error,Government
119,Illegal possession over government land against a private company filed in district court.,Ownership Conflict,Petitioner
120,Title deed forgery over agricultural land against local municipality filed in district court.,Survey Error,Petitioner
121,Survey number mismatch over commercial land between two private parties filed in district court.,Ownership Conflict,Petitioner
122,Boundary dispute over residential land involving the state government filed in district court.,Ownership Conflict,Petitioner
123,Title deed forgery over residential land between petitioner and respondent filed in district court.,Land Dispute,Government
124,Title deed forgery over commercial land against local municipality filed in district court.,Survey Error,Government
125,Boundary dispute over private property between petitioner and respondent filed in district court.,Ownership Conflict,Petitioner
126,Ownership conflict over commercial land between petitioner and respondent filed in district court.,Survey Error,Respondent
127,Survey number mismatch over government land against local municipality filed in district court.,Land Dispute,Petitioner
128,Illegal possession over commercial land involving the state government filed in district court.,Land Dispute,Petitioner
129,Illegal possession over government land between petitioner and respondent filed in district court.,Survey Error,Respondent
130,Illegal possession over commercial land involving the state government filed in district court.,Land Dispute,Respondent
131,Illegal possession over agricultural land between two private parties filed in district court.,Survey Error,Petitioner
132,Illegal possession over commercial land between petitioner and respondent filed in district court.,Land Dispute,Respondent
133,Illegal possession over residential land against local municipality filed in district court.,Ownership Conflict,Government
134,Illegal possession over agricultural land between petitioner and respondent filed in district court.,Survey Error,Respondent
135,Survey number mismatch over agricultural land between two private parties filed in district court.,Survey Error,Respondent
136,Ownership conflict over commercial land involving the state government filed in district court.,Survey Error,Petitioner
137,Boundary dispute over government land involving the state government filed in district court.,Survey Error,Petitioner
138,Boundary dispute over private property against a private company filed in district court.,Land Dispute,Government
139,Illegal possession over commercial land against local municipality filed in district court.,Land Dispute,Government
140,Title deed forgery over government land against a private company filed in district court.,Survey Error,Respondent
141,Ownership conflict over government land between two private parties filed in district court.,Survey Error,Petitioner
142,Boundary dispute over government land against local municipality filed in district court.,Survey Error,Petitioner
143,Title deed forgery over agricultural land between petitioner and respondent filed in district court.,Ownership Conflict,Respondent
144,Title deed forgery over private property involving the state government filed in district court.,Ownership Conflict,Petitioner
145,Illegal possession over private property between two private parties filed in district court.,Land Dispute,Petitioner
146,Survey number mismatch over government land against local municipality filed in district court.,Survey Error,Petitioner
147,Title deed forgery over private property against local municipality filed in district court.,Ownership Conflict,Respondent
148,Illegal possession over commercial land involving the state government filed in district court.,Land Dispute,Government
149,Title deed forgery over government land involving the state government filed in district court.,Ownership Conflict,Respondent
150,Survey number mismatch over government land between petitioner and respondent filed in district court.,Survey Error,Respondent
151,Boundary dispute over private property against a private company filed in district court.,Land Dispute,Respondent
152,Survey number mismatch over commercial land involving the state government filed in district court.,Survey Error,Petitioner
153,Survey number mismatch over residential land involving the state government filed in district court.,Survey Error,Government
154,Illegal possession over government land between two private parties filed in district court.,Survey Error,Government
155,Illegal possession over private property against local municipality filed in district court.,Land Dispute,Petitioner
156,Ownership conflict over government land between petitioner and respondent filed in district court.,Survey Error,Government
157,Boundary dispute over government land involving the state government filed in district court.,Land Dispute,Respondent
158,Boundary dispute over government land between petitioner and respondent filed in district court.,Ownership Conflict,Petitioner
159,Survey number mismatch over private property between petitioner and respondent filed in district court.,Survey Error,Respondent
160,Survey number mismatch over government land against local municipality filed in district court.,Survey Error,Petitioner
161,Ownership conflict over agricultural land involving the state government filed in district court.,Survey Error,Government
162,Illegal possession over commercial land between two private parties filed in district court.,Land Dispute,Respondent
163,Survey number mismatch over agricultural land between two private parties filed in district court.,Land Dispute,Petitioner
164,Survey number mismatch over agricultural land between petitioner and respondent filed in district court.,Survey Error,Government
165,Illegal possession over residential land against a private company filed in district court.,Land Dispute,Government
166,Illegal possession over residential land against local municipality filed in district court.,Survey Error,Petitioner
167,Ownership conflict over government land against local municipality filed in district court.,Ownership Conflict,Respondent
168,Survey number mismatch over agricultural land against a private company filed in district court.,Ownership Conflict,Petitioner
169,Survey number mismatch over residential land involving the state government filed in district court.,Land Dispute,Government
170,Boundary dispute over government land between two private parties filed in district court.,Survey Error,Petitioner
171,Ownership conflict over agricultural land between two private parties filed in district court.,Ownership Conflict,Government
172,Survey number mismatch over residential land between petitioner and respondent filed in district court.,Ownership Conflict,Government
173,Illegal possession over government land against a private company filed in district court.,Survey Error,Petitioner
174,Title deed forgery over residential land between two private parties filed in district court.,Ownership Conflict,Respondent
175,Title deed forgery over commercial land against a private company filed in district court.,Ownership Conflict,Respondent
176,Boundary dispute over residential land between two private parties filed in district court.,Survey Error,Petitioner
177,Illegal possession over residential land between two private parties filed in district court.,Land Dispute,Petitioner
178,Ownership conflict over residential land against local municipality filed in district court.,Ownership Conflict,Respondent
179,Title deed forgery over private property against local municipality filed in district court.,Land Dispute,Respondent
180,Boundary dispute over private property between two private parties filed in district court.,Survey Error,Respondent
181,Ownership conflict over residential land against local municipality filed in district court.,Survey Error,Petitioner
182,Boundary dispute over commercial land against local municipality filed in district court.,Land Dispute,Respondent
183,Survey number mismatch over government land between petitioner and respondent filed in district court.,Ownership Conflict,Government
184,Boundary dispute over private property between two private parties filed in district court.,Survey Error,Petitioner
185,Survey number mismatch over residential land against a private company filed in district court.,Ownership Conflict,Government
186,Boundary dispute over agricultural land between petitioner and respondent filed in district court.,Survey Error,Respondent
187,Ownership conflict over residential land between petitioner and respondent filed in district court.,Ownership Conflict,Respondent
188,Title deed forgery over private property involving the state government filed in district court.,Survey Error,Government
189,Survey number mismatch over residential land against a private company filed in district court.,Land Dispute,Respondent
190,Survey number mismatch over agricultural land against local municipality filed in district court.,Ownership Conflict,Government
191,Ownership conflict over commercial land against local municipality filed in district court.,Land Dispute,Petitioner
192,Title deed forgery over agricultural land against a private company filed in district court.,Ownership Conflict,Respondent
193,Illegal possession over commercial land against a private company filed in district court.,Ownership Conflict,Government
194,Title deed forgery over government land between petitioner and respondent filed in district court.,Ownership Conflict,Government
195,Survey number mismatch over commercial land against a private company filed in district court.,Ownership Conflict,Government
196,Boundary dispute over private property involving the state government filed in district court.,Ownership Conflict,Petitioner
197,Illegal possession over private property between two private parties filed in district court.,Ownership Conflict,Respondent
198,Title deed forgery over agricultural land between petitioner and respondent filed in district court.,Survey Error,Government
199,Illegal possession over agricultural land against local municipality filed in district court.,Ownership Conflict,Government
200,Illegal possession over government land against a private company filed in district court.,Ownership Conflict,Petitioner
201,Ownership conflict over government land involving the state government filed in district court.,Survey Error,Government
202,Boundary dispute over residential land between petitioner and respondent filed in district court.,Land Dispute,Government
203,Survey number mismatch over private property involving the state government filed in district court.,Land Dispute,Petitioner
204,Boundary dispute over agricultural land between petitioner and respondent filed in district court.,Ownership Conflict,Petitioner
205,Survey number mismatch over commercial land against a private company filed in district court.,Survey Error,Petitioner
206,Survey number mismatch over commercial land involving the state government filed in district court.,Ownership Conflict,Government
207,Illegal possession over private property against a private company filed in district court.,Land Dispute,Respondent
208,Survey number mismatch over government land against local municipality filed in district court.,Land Dispute,Government
209,Ownership conflict over residential land between two private parties filed in district court.,Land Dispute,Petitioner
210,Survey number mismatch over residential land involving the state government filed in district court.,Ownership Conflict,Respondent
211,Illegal possession over residential land between petitioner and respondent filed in district court.,Survey Error,Respondent
212,Illegal possession over commercial land between two private parties filed in district court.,Ownership Conflict,Respondent
213,Survey number mismatch over residential land between two private parties filed in district court.,Land Dispute,Respondent
214,Survey number mismatch over residential land against local municipality filed in district court.,Land Dispute,Respondent
215,Ownership conflict over government land involving the state government filed in district court.,Land Dispute,Government
216,Boundary dispute over residential land between petitioner and respondent filed in district court.,Ownership Conflict,Respondent
217,Boundary dispute over government land between petitioner and respondent filed in district court.,Ownership Conflict,Petitioner
218,Boundary dispute over agricultural land against local municipality filed in district court.,Ownership Conflict,Government
219,Title deed forgery over government land between petitioner and respondent filed in district court.,Survey Error,Respondent
220,Illegal possession over agricultural land against local municipality filed in district court.,Ownership Conflict,Government
221,Illegal possession over residential land against a private company filed in district court.,Survey Error,Respondent
222,Boundary dispute over residential land involving the state government filed in district court.,Survey Error,Petitioner
223,Title deed forgery over commercial land against local municipality filed in district court.,Land Dispute,Petitioner
224,Ownership conflict over residential land against a private company filed in district court.,Survey Error,Respondent
225,Title deed forgery over agricultural land against a private company filed in district court.,Land Dispute,Government
226,Ownership conflict over agricultural land against local municipality filed in district court.,Ownership Conflict,Government
227,Survey number mismatch over commercial land against local municipality filed in district court.,Ownership Conflict,Petitioner
228,Survey number mismatch over government land between petitioner and respondent filed in district court.,Land Dispute,Petitioner
229,Illegal possession over commercial land involving the state government filed in district court.,Ownership Conflict,Petitioner
230,Title deed forgery over residential land against local municipality filed in district court.,Land Dispute,Petitioner
231,Illegal possession over private property against local municipality filed in district court.,Ownership Conflict,Respondent
232,Title deed forgery over commercial land between petitioner and respondent filed in district court.,Land Dispute,Petitioner
233,Illegal possession over residential land involving the state government filed in district court.,Ownership Conflict,Government
234,Title deed forgery over agricultural land between two private parties filed in district court.,Ownership Conflict,Petitioner
235,Survey number mismatch over agricultural land against local municipality filed in district court.,Ownership Conflict,Petitioner
236,Survey number mismatch over agricultural land between petitioner and respondent filed in district court.,Survey Error,Petitioner
237,Survey number mismatch over commercial land involving the state government filed in district court.,Land Dispute,Respondent
238,Illegal possession over agricultural land against local municipality filed in district court.,Ownership Conflict,Respondent
239,Title deed forgery over commercial land against a private company filed in district court.,Ownership Conflict,Petitioner
240,Illegal possession over government land involving the state government filed in district court.,Ownership Conflict,Government
241,Ownership conflict over residential land against local municipality filed in district court.,Land Dispute,Government
242,Ownership conflict over agricultural land against a private company filed in district court.,Ownership Conflict,Respondent
243,Boundary dispute over agricultural land against a private company filed in district court.,Land Dispute,Respondent
244,Title deed forgery over commercial land against a private company filed in district court.,Ownership Conflict,Respondent
245,Boundary dispute over agricultural land between petitioner and respondent filed in district court.,Survey Error,Petitioner
246,Title deed forgery over private property involving the state government filed in district court.,Land Dispute,Government
247,Title deed forgery over commercial land against a private company filed in district court.,Ownership Conflict,Respondent
248,Ownership conflict over agricultural land between petitioner and respondent filed in district court.,Land Dispute,Petitioner
249,Boundary dispute over residential land against local municipality filed in district court.,Land Dispute,Respondent
250,Title deed forgery over residential land against a private company filed in district court.,Survey Error,Petitioner
251,Survey number mismatch over residential land between two private parties filed in district court.,Ownership Conflict,Petitioner
252,Illegal possession over commercial land involving the state government filed in district court.,Survey Error,Government
253,Survey number mismatch over private property between petitioner and respondent filed in district court.,Ownership Conflict,Petitioner
254,Ownership conflict over government land involving the state government filed in district court.,Land Dispute,Respondent
255,Ownership conflict over government land against a private company filed in district court.,Survey Error,Government
256,Ownership conflict over residential land against local municipality filed in district court.,Survey Error,Government
257,Title deed forgery over government land between petitioner and respondent filed in district court.,Land Dispute,Petitioner
258,Ownership conflict over agricultural land involving the state government filed in district court.,Survey Error,Government
259,Boundary dispute over private property against local municipality filed in district court.,Land Dispute,Government
260,Illegal possession over residential land between two private parties filed in district court.,Land Dispute,Respondent
261,Title deed forgery over agricultural land against local municipality filed in district court.,Land Dispute,Respondent
262,Ownership conflict over private property between two private parties filed in district court.,Survey Error,Government
263,Survey number mismatch over residential land against a private company filed in district court.,Ownership Conflict,Petitioner
264,Title deed forgery over agricultural land against a private company filed in district court.,Survey Error,Government
265,Boundary dispute over agricultural land against local municipality filed in district court.,Land Dispute,Government
266,Ownership conflict over government land between petitioner and respondent filed in district court.,Survey Error,Government
267,Illegal possession over private property involving the state government filed in district court.,Land Dispute,Petitioner
268,Illegal possession over agricultural land against local municipality filed in district court.,Ownership Conflict,Respondent
269,Boundary dispute over agricultural land between two private parties filed in district court.,Survey Error,Petitioner
270,Title deed forgery over government land against a private company filed in district court.,Survey Error,Petitioner
271,Ownership conflict over private property against a private company filed in district court.,Survey Error,Petitioner
272,Survey number mismatch over commercial land against local municipality filed in district court.,Ownership Conflict,Government
273,Title deed forgery over commercial land against local municipality filed in district court.,Land Dispute,Petitioner
274,Title deed forgery over agricultural land against local municipality filed in district court.,Land Dispute,Petitioner
275,Title deed forgery over government land between two private parties filed in district court.,Survey Error,Petitioner
276,Title deed forgery over government land against a private company filed in district court.,Land Dispute,Government
277,Ownership conflict over agricultural land against a private company filed in district court.,Survey Error,Petitioner
278,Title deed forgery over government land between two private parties filed in district court.,Ownership Conflict,Petitioner
279,Title deed forgery over residential land involving the state government filed in district court.,Land Dispute,Petitioner
280,Ownership conflict over government land against a private company filed in district court.,Ownership Conflict,Respondent
281,Boundary dispute over government land between two private parties filed in district court.,Land Dispute,Government
282,Boundary dispute over private property against local municipality filed in district court.,Ownership Conflict,Petitioner
283,Illegal possession over government land against local municipality filed in district court.,Land Dispute,Petitioner
284,Illegal possession over private property against a private company filed in district court.,Land Dispute,Respondent
285,Title deed forgery over private property against local municipality filed in district court.,Ownership Conflict,Respondent
286,Ownership conflict over agricultural land involving the state government filed in district court.,Survey Error,Respondent
287,Survey number mismatch over government land involving the state government filed in district court.,Survey Error,Petitioner
288,Survey number mismatch over residential land against local municipality filed in district court.,Survey Error,Petitioner
289,Boundary dispute over commercial land between petitioner and respondent filed in district court.,Survey Error,Government
290,Ownership conflict over commercial land against a private company filed in district court.,Land Dispute,Petitioner
291,Title deed forgery over government land between two private parties filed in district court.,Ownership Conflict,Petitioner
292,Boundary dispute over residential land against local municipality filed in district court.,Ownership Conflict,Respondent
293,Title deed forgery over agricultural land against a private company filed in district court.,Land Dispute,Government
294,Ownership conflict over government land between petitioner and respondent filed in district court.,Survey Error,Petitioner
295,Survey number mismatch over commercial land involving the state government filed in district court.,Land Dispute,Respondent
296,Boundary dispute over residential land against local municipality filed in district court.,Ownership Conflict,Respondent
297,Survey number mismatch over government land against local municipality filed in district court.,Survey Error,Respondent
298,Survey number mismatch over government land against local municipality filed in district court.,Survey Error,Petitioner
299,Illegal possession over government land against local municipality filed in district court.,Survey Error,Petitioner
300,Survey number mismatch over commercial land between petitioner and respondent filed in district court.,Survey Error,Respondent
301,Survey number mismatch over commercial land between two private parties filed in district court.,Ownership Conflict,Petitioner
302,Title deed forgery over government land against a private company filed in district court.,Land Dispute,Government
303,Survey number mismatch over private property involving the state government filed in district court.,Survey Error,Petitioner
304,Ownership conflict over residential land between two private parties filed in district court.,Ownership Conflict,Government
305,Illegal possession over commercial land against local municipality filed in district court.,Survey Error,Government
306,Title deed forgery over agricultural land between two private parties filed in district court.,Ownership Conflict,Government
307,Ownership conflict over private property against local municipality filed in district court.,Ownership Conflict,Respondent
308,Illegal possession over commercial land between petitioner and respondent filed in district court.,Ownership Conflict,Government
309,Boundary dispute over commercial land against local municipality filed in district court.,Survey Error,Government
310,Survey number mismatch over residential land between two private parties filed in district court.,Ownership Conflict,Respondent
311,Illegal possession over private property against local municipality filed in district court.,Land Dispute,Petitioner
312,Ownership conflict over commercial land between petitioner and respondent filed in district court.,Land Dispute,Petitioner
313,Illegal possession over residential land against local municipality filed in district court.,Ownership Conflict,Government
314,Ownership conflict over private property against local municipality filed in district court.,Ownership Conflict,Petitioner
315,Ownership conflict over government land against local municipality filed in district court.,Survey Error,Petitioner
316,Illegal possession over residential land against local municipality filed in district court.,Land Dispute,Petitioner
317,Survey number mismatch over agricultural land between two private parties filed in district court.,Ownership Conflict,Petitioner
318,Title deed forgery over government land between two private parties filed in district court.,Land Dispute,Petitioner
319,Illegal possession over residential land against local municipality filed in district court.,Land Dispute,Respondent
320,Title deed forgery over commercial land against local municipality filed in district court.,Survey Error,Respondent
321,Ownership conflict over residential land against a private company filed in district court.,Survey Error,Petitioner
322,Ownership conflict over commercial land between two private parties filed in district court.,Ownership Conflict,Respondent
323,Title deed forgery over government land against a private company filed in district court.,Land Dispute,Government
324,Boundary dispute over commercial land between two private parties filed in district court.,Land Dispute,Petitioner
325,Ownership conflict over government land between two private parties filed in district court.,Ownership Conflict,Petitioner
326,Boundary dispute over agricultural land involving the state government filed in district court.,Land Dispute,Respondent
327,Ownership conflict over private property against a private company filed in district court.,Ownership Conflict,Respondent
328,Ownership conflict over government land involving the state government filed in district court.,Survey Error,Respondent
329,Illegal possession over agricultural land against a private company filed in district court.,Survey Error,Petitioner
330,Ownership conflict over agricultural land involving the state government filed in district court.,Survey Error,Petitioner
331,Ownership conflict over private property involving the state government filed in district court.,Survey Error,Respondent
332,Title deed forgery over commercial land against local municipality filed in district court.,Survey Error,Respondent
333,Illegal possession over agricultural land between two private parties filed in district court.,Land Dispute,Petitioner
334,Ownership conflict over residential land against local municipality filed in district court.,Survey Error,Respondent
335,Survey number mismatch over commercial land against local municipality filed in district court.,Land Dispute,Petitioner
336,Title deed forgery over private property against a private company filed in district court.,Ownership Conflict,Respondent
337,Ownership conflict over residential land against a private company filed in district court.,Land Dispute,Respondent
338,Survey number mismatch over agricultural land between petitioner and respondent filed in district court.,Ownership Conflict,Petitioner
339,Title deed forgery over government land between two private parties filed in district court.,Survey Error,Petitioner
340,Ownership conflict over government land involving the state government filed in district court.,Survey Error,Respondent
341,Boundary dispute over private property between two private parties filed in district court.,Land Dispute,Respondent
342,Ownership conflict over private property involving the state government filed in district court.,Survey Error,Respondent
343,Illegal possession over government land between petitioner and respondent filed in district court.,Land Dispute,Respondent
344,Title deed forgery over government land involving the state government filed in district court.,Ownership Conflict,Respondent
345,Illegal possession over residential land against a private company filed in district court.,Land Dispute,Government
346,Ownership conflict over residential land between petitioner and respondent filed in district court.,Land Dispute,Petitioner
347,Title deed forgery over agricultural land against local municipality filed in district court.,Survey Error,Petitioner
348,Boundary dispute over private property against a private company filed in district court.,Land Dispute,Government
349,Ownership conflict over agricultural land against a private company filed in district court.,Survey Error,Petitioner
350,Ownership conflict over agricultural land against local municipality filed in district court.,Land Dispute,Respondent
351,Survey number mismatch over government land against local municipality filed in district court.,Land Dispute,Respondent
352,Title deed forgery over agricultural land involving the state government filed in district court.,Survey Error,Government
353,Survey number mismatch over government land involving the state government filed in district court.,Survey Error,Respondent
354,Boundary dispute over commercial land against local municipality filed in district court.,Survey Error,Petitioner
355,Boundary dispute over government land between petitioner and respondent filed in district court.,Land Dispute,Respondent
356,Ownership conflict over agricultural land involving the state government filed in district court.,Survey Error,Petitioner
357,Title deed forgery over agricultural land against a private company filed in district court.,Land Dispute,Petitioner
